epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
166,1237.51,0.6363,0.53984,0.80251,0.95611,0.99345,0.995,0.73061,0.79362,0.67348,0.77808,0.000759318,0.000759318,0.000759318
167,1244.53,0.58996,0.62539,0.77579,0.95611,0.99345,0.995,0.73061,0.79362,0.67348,0.77808,0.000753817,0.000753817,0.000753817
168,1251.84,0.70672,0.693,0.79757,0.95676,0.99503,0.995,0.74973,0.74803,0.64029,0.77533,0.000748316,0.000748316,0.000748316
169,1259.25,0.62392,0.57139,0.79314,0.95676,0.99503,0.995,0.74973,0.74803,0.64029,0.77533,0.000742815,0.000742815,0.000742815
170,1268.17,0.57846,0.56202,0.79746,0.95772,0.99512,0.995,0.75076,0.71501,0.61905,0.77198,0.000737314,0.000737314,0.000737314
171,1276.98,0.59084,0.60036,0.77438,0.95772,0.99512,0.995,0.75076,0.71501,0.61905,0.77198,0.000731813,0.000731813,0.000731813
172,1286.01,0.62589,0.62522,0.80694,0.95913,0.99517,0.995,0.73931,0.74632,0.64957,0.77349,0.000726312,0.000726312,0.000726312
173,1294.96,0.60708,0.60844,0.77269,0.95913,0.99517,0.995,0.73931,0.74632,0.64957,0.77349,0.000720811,0.000720811,0.000720811
174,1303.88,0.57065,0.58689,0.80396,0.96589,0.99602,0.995,0.75034,0.79715,0.63827,0.77692,0.00071531,0.00071531,0.00071531
175,1313.15,0.60376,0.58564,0.75942,0.96589,0.99602,0.995,0.75034,0.79715,0.63827,0.77692,0.000709809,0.000709809,0.000709809
176,1322.46,0.56853,0.5548,0.8,0.97402,0.99845,0.995,0.76494,0.77709,0.62739,0.77894,0.000704307,0.000704307,0.000704307
177,1331.43,0.58854,0.58081,0.79075,0.97402,0.99845,0.995,0.76494,0.77709,0.62739,0.77894,0.000698806,0.000698806,0.000698806
178,1340.35,0.61206,0.59885,0.77857,0.97629,1,0.995,0.75198,0.76149,0.60856,0.78169,0.000693305,0.000693305,0.000693305
179,1349.28,0.66422,0.67712,0.82849,0.97629,1,0.995,0.75198,0.76149,0.60856,0.78169,0.000687804,0.000687804,0.000687804
180,1358,0.58874,0.56794,0.80048,0.97379,1,0.995,0.75493,0.77094,0.62584,0.78489,0.000682303,0.000682303,0.000682303
181,1366.93,0.5313,0.5691,0.78387,0.97379,1,0.995,0.75493,0.77094,0.62584,0.78489,0.000676802,0.000676802,0.000676802
182,1376.08,0.55493,0.54203,0.77464,0.97015,0.99886,0.995,0.75076,0.74696,0.64348,0.77978,0.000671301,0.000671301,0.000671301
183,1385.03,0.5252,0.54879,0.79369,0.97015,0.99886,0.995,0.75076,0.74696,0.64348,0.77978,0.0006658,0.0006658,0.0006658
184,1393.89,0.48893,0.52535,0.78566,0.96732,0.99841,0.995,0.7676,0.71712,0.64884,0.779,0.000660299,0.000660299,0.000660299
185,1402.73,0.61921,0.59872,0.79836,0.96732,0.99841,0.995,0.7676,0.71712,0.64884,0.779,0.000654798,0.000654798,0.000654798
186,1411.36,0.57116,0.52317,0.77798,0.96269,0.99692,0.995,0.7794,0.73135,0.67722,0.77773,0.000649297,0.000649297,0.000649297
187,1419.89,0.57335,0.5718,0.76047,0.96269,0.99692,0.995,0.7794,0.73135,0.67722,0.77773,0.000643795,0.000643795,0.000643795
188,1428.58,0.51479,0.52188,0.77769,0.96148,0.99664,0.995,0.75653,0.77525,0.65007,0.77764,0.000638294,0.000638294,0.000638294
